BBPW,BBW,IntervalInMinute,TC,V,PCP
0.2412,0.008,5,67,64,0.01
0.0007,0.0088,5,50,85,-0.25
0.139,0.0086,5,54,32,0.13
0.0789,0.0091,5,90,49,-0.09
0.1938,0.0095,5,113,40,0.08
0.187,0.0099,5,118,33,-0.04
0.2187,0.0103,5,43,14,0
0.2772,0.0105,5,44,14,0.04
0.2955,0.0106,5,81,45,0
0.18,0.011,5,46,13,-0.16
0.2693,0.0107,5,74,17,0.07
0.2528,0.0104,5,51,22,-0.04
0.13,0.0102,5,42,13,-0.16
0.3769,0.0086,5,54,36,0.23
0.2562,0.0068,5,32,11,-0.1
0.0935,0.0057,5,61,18,-0.1
0.0132,0.0054,5,139,30,-0.06
0.0546,0.0055,5,94,48,-0.01
-0.0114,0.0057,5,48,25,-0.07
0.133,0.0057,5,73,24,0.06
0.2425,0.0053,5,84,79,0.05
0.1853,0.0055,5,59,57,-0.05
0.0082,0.006,5,86,37,-0.14
0.5242,0.0059,5,90,40,0.3
0.7666,0.0058,5,49,28,0.14
0.3142,0.0057,5,78,22,-0.27
0.1434,0.0058,5,133,29,-0.12
0.169,0.0056,5,75,32,0
-0.0864,0.006,5,169,53,-0.2
-0.1499,0.0074,5,144,54,-0.16
-0.118,0.0086,5,197,71,-0.09
-0.059,0.0097,5,81,97,-0.05
-0.0066,0.0109,5,105,108,-0.04
-0.0305,0.0118,5,105,151,-0.13
0.0503,0.0126,5,125,146,0.02
0.0009,0.0139,5,270,65,-0.18
-0.063,0.016,5,338,79,-0.27
-0.1869,0.0202,5,475,145,-0.59
-0.0218,0.0228,5,490,316,0.12
0.0258,0.0249,5,338,75,-0.08
0.0239,0.027,5,113,18,-0.21
0.1425,0.0279,5,252,122,0.21
0.1,0.0294,5,125,130,-0.27
0.1682,0.0293,5,80,12,0.1
0.1668,0.0284,5,363,49,-0.09
0.108,0.0285,5,130,32,-0.29
0.1373,0.0283,5,120,43,-0.02
0.1164,0.0279,5,108,14,-0.16
0.1056,0.0279,5,522,140,-0.15
-0.1438,0.0324,5,906,222,-1.16
-0.1396,0.0379,5,724,224,-0.53
-0.1007,0.0433,5,667,159,-0.38
0.1022,0.0443,5,406,211,0.69
0.1085,0.0452,5,156,30,-0.18
0.1151,0.0456,5,247,113,-0.16
0.1433,0.0454,5,85,25,-0.04
0.2651,0.0442,5,191,127,0.45
0.3013,0.0437,5,119,34,0.07
0.2155,0.0434,5,175,62,-0.51
0.2487,0.0426,5,150,112,0.03
0.2375,0.0421,5,126,54,-0.16
0.259,0.0402,5,43,8,0
0.3338,0.0381,5,134,83,0.22
0.3011,0.0352,5,76,30,-0.2
0.2699,0.0318,5,110,108,-0.17
0.3824,0.0281,5,89,146,0.3
0.4551,0.0232,5,102,252,0.13
0.5179,0.0175,5,102,60,0.05
0.6123,0.0095,5,106,68,0
0.6847,0.0085,5,78,76,0.03
0.4098,0.0085,5,124,106,-0.24
0.2561,0.0079,5,85,45,-0.11
1.0658,0.0087,5,247,153,0.7
1.0331,0.01,5,111,45,0.06
0.6447,0.01,5,61,54,-0.37
0.5689,0.0099,5,67,24,-0.06
0.1681,0.01,5,115,61,-0.43
0.1445,0.0099,5,249,86,-0.06
0.1366,0.0105,5,150,91,-0.05
0.0837,0.0113,5,164,97,-0.12
0.1473,0.0119,5,97,59,0.04
0.1721,0.0124,5,154,247,0
0.0911,0.0133,5,299,115,-0.17
